ID,Titile,MainImagePath,DurationInSecond,Cost,Discount,Description
1,Наращивание ресниц, Услуги салона красоты/Ресницы.png,2400,1430,0.05,
2,Моделирование ресниц+тушь, Услуги салона красоты/Ресницы.png,2100,1390,0.10,
3,Ламинирование ресниц, Услуги салона красоты/Ресницы.png,3300,1740,0.25,
4,Русский спа массаж, Услуги салона красоты/массаж.jpg,3000,2540,0.20,
5,Мезотерапия, Услуги салона красоты/Мезотерапия.jpg,2400,2040,0.20,
6,Полуперманентная тушь, Услуги салона красоты/Ресницы.png,1800,2340,0.00,
7,Экспресс SPA, Услуги салона красоты/Экспресс SPA.png,900,2420,0.00,
8,Пирсинг, Услуги салона красоты/Прокол ушей пистолетом.png,3300,1330,0.00,
9,Массаж масляный, Услуги салона красоты/массаж.jpg,3000,1090,0.00,
10,Прессотерапия, Услуги салона красоты/Прессотерапия.jpg,2400,2350,0.00,
11,Европейский маникюр, Услуги салона красоты/Европейский маникюр.jpg,3600,1990,0.05,
12,Удаление доброкачественных образований кожи, Услуги салона красоты/face.png,900,1910,0.00,
13,Испанский массаж, Услуги салона красоты/массаж.jpg,2400,2190,0.25,
14,Наращивание ресниц кукольного эффекта, Услуги салона красоты/Ресницы.png,2100,2120,0.00,
15,Стрижка с покраской, Услуги салона красоты/стрижка.png,1500,2300,0.10,
16,Детокс спа, Услуги салона красоты/face.png,1800,1330,0.00,
17,Стоун-терапия, Услуги салона красоты/Стоун-терапия.jpg,3000,2100,0.25,
18,Радиоволновой лифтинг, Услуги салона красоты/face.png,3000,1590,0.15,
19,Химические завивки, Услуги салона красоты/стрижка.png,3000,1090,0.20,
20,Альгинатные маски, Услуги салона красоты/mask.jpeg,3300,2370,0.00,
21,Спортивный массаж, Услуги салона красоты/массаж.jpg,1800,1650,0.15,
22,Лечебное покрытие ногтей, Услуги салона красоты/ногти.png,1800,1220,0.00,
23,Реконструкция и лечение волос и кожи головы, Услуги салона красоты/face.png,3300,2360,0.15,
24,Классический маникюр, Услуги салона красоты/Классический маникюр.png,3300,1680,0.20,
25,Консультация врача, Услуги салона красоты/122454.png,1800,2120,0.00,
26,Наращивание ресниц лисьего эффекта, Услуги салона красоты/Ресницы.png,1800,1370,0.25,
27,Экспресс-педикюр, Услуги салона красоты/Экспресс-педикюр.jpg,1200,2170,0.20,
28,Гречишный массаж, Услуги салона красоты/Гречишный массаж.jpg,2400,1520,0.15,
29,Комбинированный маникюр, Услуги салона красоты/Комбинированный маникюр.jpg,3600,2390,0.00,
30,Фонофорез лица, Услуги салона красоты/face.png,1200,1120,0.05,
31,Перманентный макияж (татуаж), Услуги салона красоты/брови.png,2400,1270,0.25,
32,Химический пилинг, Услуги салона красоты/piling.jpg,1500,1880,0.15,
33,Плазмолифтинг, Услуги салона красоты/face.png,900,2450,0.20,
34,Криолифтинг, Услуги салона красоты/face.png,900,1090,0.00,
35,Гликолевый поверхностный базовый пилинг, Услуги салона красоты/piling.jpg,2100,2230,0.10,
36,Окрашивание ресниц, Услуги салона красоты/Ресницы.png,2100,1100,0.00,
37,Коррекция нарощенных ресниц, Услуги салона красоты/Ресницы.png,2700,1310,0.05,
38,Фракционное омоложение лазерной системой Palomar, Услуги салона красоты/face.png,2700,1140,0.05,
39,Художественное оформление ресниц, Услуги салона красоты/Ресницы.png,3000,2040,0.00,
40,Эстетическая лазерная шлифовка кожи, Услуги салона красоты/piling.jpg,2400,1750,0.25,
41,Массаж ЖИВА, Услуги салона красоты/массаж.jpg,3300,2330,0.25,
42,Макияж, Услуги салона красоты/makeup.jpg,1800,2470,0.20,
43,Время вспять с коллагеном, Услуги салона красоты/96.png,2400,1850,0.10,
44,Снятие ресниц, Услуги салона красоты/Снятие ресниц.jpg,2700,1680,0.25,
45,Оформление бровей, Услуги салона красоты/брови.png,2100,2280,0.00,
46,Стрижка бороды машинкой, Услуги салона красоты/man.png,2700,1750,0.10,
47,Маски для лица, Услуги салона красоты/mask.jpeg,1200,2250,0.10,
48,Татуаж, Услуги салона красоты/брови.png,3600,1330,0.20,
49,Уход для проблемной и комбинированной кожи, Услуги салона красоты/face.png,3600,2440,0.15,
50,Прокол ушей пистолетом, Услуги салона красоты/Прокол ушей пистолетом.png,1500,2040,0.05,
51,Ремонт одного ногтя, Услуги салона красоты/ногти.png,1800,2340,0.25,
52,Полировка с маслом, Услуги салона красоты/piling.jpg,1200,1280,0.00,
53,Омоложение зоны вокруг глаз, Услуги салона красоты/брови.png,1800,2540,0.15,
54,Аппаратная косметология, Услуги салона красоты/96.png,3300,1180,0.00,
55,Консультация врача-косметолога, Услуги салона красоты/122454.png,3600,2350,0.05,
56,Визаж, Услуги салона красоты/makeup.jpg,3000,1260,0.00,
57,Демакияж, Услуги салона красоты/Демакияж.jpg,1200,1470,0.15,
58,Коррекция ресниц, Услуги салона красоты/Ресницы.png,1200,2010,0.10,
59,Детская стрижка, Услуги салона красоты/стрижка.png,2100,2330,0.20,
60,Мужская стрижка, Услуги салона красоты/man.png,3000,1690,0.00,
61,Вечерняя прическа, Услуги салона красоты/стрижка.png,900,2020,0.25,
62,Наращивание ресниц беличьего эффекта, Услуги салона красоты/Ресницы.png,1800,1010,0.00,
63,Мезонити (Тредлифтинг), Услуги салона красоты/96.png,1500,2140,0.00,
64,Покрытие ногтей, Услуги салона красоты/ногти.png,2400,2410,0.15,
65,Гавайский массаж Ломи-Ломи, Услуги салона красоты/массаж.jpg,2100,1040,0.15,
66,Парафинотерапия, Услуги салона красоты/Парафинотерапия.jpg,2100,1180,0.05,
67,Озонотерапия, Услуги салона красоты/face.png,2100,1740,0.20,
68,Миндальный пилинг, Услуги салона красоты/piling.jpg,2700,2430,0.15,
69,Покрытие ногтей гель-лаком, Услуги салона красоты/Покрытие ногтей гель-лаком.jpg,900,2100,0.20,
70,Декорирование ресниц стразами, Услуги салона красоты/Ресницы.png,3000,1920,0.15,
71,Микротоковая терапия, Услуги салона красоты/face.png,2700,2410,0.05,
72,Стрижка челки, Услуги салона красоты/стрижка.png,2100,1930,0.10,
73,Лазерный пилинг, Услуги салона красоты/piling.jpg,1200,1650,0.25,
74,Массаж лица, Услуги салона красоты/массаж.jpg,3600,2370,0.00,
75,Снятие лака, Услуги салона красоты/ногти.png,2100,1240,0.00,
76,Классический педикюр, Услуги салона красоты/Экспресс-педикюр.jpg,2100,2040,0.25,
77,Классический массаж, Услуги салона красоты/массаж.jpg,2700,1120,0.15,
78,Окрашивание бровей, Услуги салона красоты/Окрашивание бровей.jpg,3600,1120,0.10,
79,Наращивание ногтей гелем, Услуги салона красоты/ногти.png,2400,1540,0.10,
80,Ботокс, Услуги салона красоты/96.png,3000,1820,0.15,
81,Инъекционные методики, Услуги салона красоты/96.png,2400,1660,0.00,
82,Покраска ресниц, Услуги салона красоты/Ресницы.png,1800,2400,0.00,
83,Свадебная прическа, Услуги салона красоты/стрижка.png,2700,2070,0.00,
84,Моделирование ресниц, Услуги салона красоты/Моделирование ресниц.jpg,2700,2140,0.00,
85,Миостимуляция, Услуги салона красоты/face.png,3600,2380,0.00,
86,Шугаринг, Услуги салона красоты/Шугаринг.jpg,1800,1400,0.00,
87,Укрепление ногтей гелем, Услуги салона красоты/Укрепление ногтей гелем.jpg,2700,1260,0.00,
88,Солярий, Услуги салона красоты/soliarij.jpg,3000,1790,0.10,
89,Моментальный лифтинг, Услуги салона красоты/face.png,3000,2020,0.00,
90,Детский маникюр, Услуги салона красоты/ногти.png,2100,1900,0.00,
91,Ультразвуковой пилинг, Услуги салона красоты/piling.jpg,2700,1440,0.20,
92,ИК-сауна, Услуги салона красоты/ИК-сауна.jpg,2700,1160,0.20,
93,Контурная пластика, Услуги салона красоты/Контурная пластика.jpg,2100,1550,0.20,
94,Декорирование нарощенных ресниц стразами, Услуги салона красоты/Декорирование нарощенных ресниц стразами.jpg,2700,1130,0.00,
95,Депиляция воском, Услуги салона красоты/Депиляция воском.jpg,1800,2330,0.15,
96,Полировка ногтей, Услуги салона красоты/Полировка ногтей.jpg,3000,2310,0.15,
97,Фракционный лазер Palomar Emerge, Услуги салона красоты/face.png,1500,1720,0.25,
98,Увлажнение с коллагеном, Услуги салона красоты/96.png,3300,2490,0.00,
99,Массаж оздоровительный, Услуги салона красоты/массаж.jpg,1200,1440,0.00,
100,Общий массаж, Услуги салона красоты/массаж.jpg,2700,1970,0.25,
